danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,category
0.65,0.736,7,-7.752,1,0.0329,0.544,0.0,0.169,0.832,158.012,176203,4,Brazilian Funk
0.838,0.449,0,-6.187,1,0.0832,0.302,0.0,0.316,0.606,130.004,216300,4,Brazilian Funk
0.765,0.499,11,-5.493,1,0.472,0.285,0.0,0.183,0.855,184.114,297391,4,Brazilian Funk
0.652,0.513,7,-1.451,0,0.32,0.53,0.000307,0.0656,0.862,75.249,125538,5,Brazilian Funk
0.589,0.758,1,-5.867,1,0.334,0.407,0.000148,0.0704,0.671,77.328,102857,4,Brazilian Funk
0.713,0.541,1,0.434,1,0.362,0.528,0.0,0.0421,0.835,129.818,156000,4,Brazilian Funk
0.697,0.713,7,-6.128,0,0.0452,0.131,0.0,0.136,0.85,159.951,129000,4,Brazilian Funk
0.666,0.774,5,-6.47,1,0.369,0.33,0.0,0.0656,0.503,126.065,180000,5,Brazilian Funk
0.813,0.849,1,-0.644,1,0.287,0.552,0.0,0.363,0.45,129.964,193615,4,Brazilian Funk
0.677,0.651,1,-3.277,1,0.378,0.271,0.0,0.11,0.822,169.99,564706,4,Brazilian Funk
0.961,0.601,8,-11.462,1,0.323,0.0725,5.09e-05,0.0548,0.93,130.007,84271,4,Brazilian Funk
0.914,0.864,8,-1.115,1,0.329,0.389,0.0,0.261,0.895,135.103,138667,4,Brazilian Funk
0.744,0.918,10,-1.799,0,0.066,0.0305,2.92e-06,0.193,0.789,155.015,123871,4,Brazilian Funk
0.87,0.712,11,-1.876,0,0.186,0.0192,0.406,0.155,0.804,83.298,192000,5,Brazilian Funk
0.687,0.707,5,-6.417,0,0.0865,0.0866,0.0,0.173,0.463,90.26,224000,4,Brazilian Funk
0.884,0.586,6,-5.128,0,0.33,0.852,0.814,0.399,0.941,135.166,85889,3,Brazilian Funk
0.815,0.69,9,-4.622,1,0.0469,0.29,0.0,0.312,0.654,135.036,185000,4,Brazilian Funk
0.415,0.546,2,-8.689,0,0.381,0.412,0.0,0.153,0.246,71.36,184846,3,Brazilian Funk
0.902,0.721,6,-4.199,0,0.0768,0.457,0.0,0.0716,0.788,110.044,164791,4,Brazilian Funk
0.89,0.488,5,-4.749,0,0.359,0.624,0.0,0.0956,0.633,113.263,395294,5,Brazilian Funk
0.463,0.649,4,-6.451,0,0.0948,0.263,8.83e-06,0.108,0.275,99.839,175424,3,Brazilian Funk
0.782,0.631,10,-8.473,0,0.592,0.123,0.0,0.0808,0.866,113.427,641941,5,Brazilian Funk
0.932,0.824,7,-5.568,1,0.261,0.157,5.81e-06,0.528,0.75,132.039,124352,4,Brazilian Funk
0.631,0.647,4,-0.679,1,0.441,0.705,0.0,0.321,0.516,83.459,122308,5,Brazilian Funk
0.698,0.739,11,-3.806,0,0.0586,0.635,0.0,0.0706,0.518,120.901,160661,4,Brazilian Funk
0.915,0.914,0,-2.059,1,0.195,0.128,0.0,0.058,0.927,140.089,116571,4,Brazilian Funk
0.884,0.693,8,-2.1,0,0.0593,0.301,0.0,0.0729,0.611,123.939,236129,4,Brazilian Funk
0.955,0.425,3,-8.242,0,0.43,0.711,0.0,0.101,0.716,127.032,192756,4,Brazilian Funk
0.642,0.53,8,1.023,1,0.237,0.517,0.0,0.137,0.51,165.174,184901,5,Brazilian Funk
0.825,0.609,6,-1.623,1,0.0819,0.291,0.0,0.521,0.653,109.99,159985,4,Brazilian Funk
0.883,0.825,8,-1.447,0,0.554,0.148,0.0,0.188,0.677,130.136,229154,4,Brazilian Funk
0.87,0.845,11,-1.551,1,0.284,0.504,0.00303,0.0531,0.637,129.973,166154,4,Brazilian Funk
0.855,0.695,4,-3.297,0,0.118,0.731,1.7e-06,0.135,0.533,129.968,138466,4,Brazilian Funk
0.815,0.481,3,-5.677,0,0.354,0.295,0.0,0.105,0.795,159.86,420000,4,Brazilian Funk
0.891,0.894,4,-4.595,0,0.145,0.0466,0.000244,0.161,0.671,130.045,154154,4,Brazilian Funk
0.797,0.522,9,-5.419,0,0.149,0.287,0.0,0.0914,0.588,129.936,155077,4,Brazilian Funk
0.862,0.631,9,-1.066,0,0.177,0.328,0.0,0.0898,0.5,159.974,300000,4,Brazilian Funk
0.829,0.64,6,-5.537,0,0.231,0.553,0.000214,0.131,0.848,160.025,135053,4,Brazilian Funk
