ids,message
5rHhO6SBSzo3E9m3KHyCtt,Brazil
7yD1kE5drOxjemNWdUrKNZ,Brazil
08C7nkUFIk8BxtKxx8opXd,Brazil
1wubETHu3SeJHfbz9itEH0,Brazil
2Li8tWQBprZEjyDVQaSpTC,Brazil
0BvzY9PCRufFPt51fvnhOI,Brazil
6o5CBptHCsb4pyQV9l3TBU,Brazil
7FdGeazienHpcYz9KYAuWW,Brazil
6ukVCqH77f6cwRHyJBhGgy,Brazil
2cGRf9skACWnKRK1eLYBJn,Brazil
1aKO7s5pKClaGB31yW0tWg,Brazil
5pmQRsVD9qPoF4VXoITPUC,Brazil
0khrDwL3joCycfSdhj3g5M,Brazil
6CnWfIkhMgZg7a1JDtRPwJ,Brazil
3EJfFRgtbIYzBQdlc6PO9V,Brazil
2pWxJlc5mZI69h4iu1rbRA,Brazil
0f1KWgjnGBb097sLeHZsGq,Brazil
2DtHi3V76ntRw1RIKgYMfe,Brazil
2ThEetsRrVOEoCNpoFVDjM,Brazil
3Bkw2nrO4vXwql6BBDH5pq,Brazil
2KdyhL41F9solmRiyLQ3yl,Brazil
5SelMbBs9teprK772eYt4y,Brazil
5qMyN3dzXKb5P1MiKyqupZ,Brazil
3JLhwgadVkN8zckxL1ICrI,Brazil
7amlXONtan1ek8CUChBmwP,Brazil
38MiIYlhGASln9jXnOmX04,Brazil
3hOEoT2oxqpfFe7sjQrsgA,Brazil
3whfTX0NBHhjynUlARMf7q,Brazil
2Dj5HcwQLdnxxQM8siKWeT,Brazil
6iNTq9x4vwPx1hhjDXJQcb,Brazil
5sKGmZDmkGwFed5dPpZpZL,Brazil
4dvHZesL5UKzfJnFH5bm3g,Brazil
3m1lLoBjQYJdsL8Km0yxE6,Brazil
4dvq70X7Zv2eg1xZ6uJyd2,Brazil
6sLD9uVO46BFgEdjRL5JtT,Brazil
3r0lBgm0cKpAfboBgN8zli,Brazil
0KDxhAvKeiVFL1bZccQVJs,Brazil
2WEhFQZBJqgY3MBTxK9r10,Brazil
5P72Aj6wVhjPTuonFHzh4e,Brazil
0ikHh6vrN2RcCANXwRnMHx,Brazil
3Q97FKXvvhX7xNE9T3rp0Z,Brazil
7f1tZNtc1t456ybBsl5sfK,Brazil
796cqmAfB18E9kMblOFbWw,Brazil
1Ms6NNsLMqdC5v1qE3d89p,Brazil
1G09TYdafWOnFnSQvJzePM,Brazil
7y14uVGjyufGuVExS6JWIL,Brazil
4A59ygOlOd3V0GbyEmUxKs,Brazil
7pkpWcko6KEZANj0xKsCsu,Brazil
1LO5MPpaor9yj05gscjtLu,Brazil
5ruEsU10uMI0IdPDrTVpje,Brazil
6YopFDuDAvaCxB3zLkqJz2,Brazil
5hlojehQcbgcCSbllhwdHC,Brazil
2ZI7HOZoBqrV3lFlHKJshI,Brazil
07ceTL2BIlnI5jWxceZz9d,Brazil
6u9tu5yRDTHpWlY86J1GDa,Brazil
0GbvYZsvz7bWyijBDESebX,Brazil
0S7o4sti5I5CAbbotTUzTM,Brazil
3Na9gwLmFdEJH2l54AYwpk,Brazil
4qFhC9uOxwH235hF2jhvCH,Brazil
2lhTndwmmoMqMq8SSDfwbU,Brazil
513hO8ivMCeHoV25e1ivOa,Brazil
73bP7MZY1fwsjC4o3g7kBN,Brazil
1tAls12jSoUZPoj9cv7OAh,Brazil
5dYgIl06rPx4gIAZ7kMUTO,Brazil
1NcqLEg2r2LXqMVbam2BJD,Brazil
2Qx8g3zoHsi0GvtYCCAFAT,Brazil
5QpcLTQjh0qO7OIuR9q8IR,Brazil
6mTpK40yIRk1xGGNvRMHGg,Brazil
3w392XWJ5bXzjcCR2Dmvqn,Brazil
0P1hMTn1y9gs4tzXWzaPYr,Brazil
0pK0Vd1MCWy7AmsyFfIJb8,Brazil
0WiJIa3V9GdcJfcy1FhLjp,Brazil
1R4bX3psbe5D2Wc03F3UvS,Brazil
0bor3AJ8QV6RRbyV64ZsOO,Brazil
0HDMisLsuGNml98Xq7atpm,Brazil
368hYqtNCKCAeUduMoSHhh,Brazil
1VbunACv3Z4cGfBenC7oTx,Brazil
7l9Tq5phzkLnhWUyfp702G,Brazil
1cIS13bqNfZcTs8LSK8r0a,Brazil
6hNREzgHbVM5AkGwP4SPmU,Brazil
0mVTQi9I4ehzSi9u9hLca5,Brazil
3knAG9kd3jNNuJlZZUAOoQ,Brazil
1sTGINNEM4sT3H2hDdQiPe,Brazil
2ORC76autQ7QTfBCkZl4Wo,Brazil
0aGBJDgysbTnnE27oYkx0N,Brazil
0KqVaOxvmYJMz10w3SbiaV,Brazil
73SIgqXr3oRzzWbX1muX3I,Brazil
08C7nkUFIk8BxtKxx8opXd,Brazil
7FdGeazienHpcYz9KYAuWW,Brazil
1AmvgghfKMePtlF8rpZTak,Brazil
1jit2rsLTbrPqisSZWxwdK,Brazil
0xGQTpN4ESETtl1Sp6rzd2,Brazil
06WzOusi75IJ2Ew8fnRjHd,Brazil
0s8vHahEw7KxNSbJPaYRJP,Brazil
1QiXVRoAJ8P8TXJOsIHIKj,Brazil
0khrDwL3joCycfSdhj3g5M,Brazil
1f5ycb4gqZUvGXlWyT6TB4,Brazil
3DSh9lXlhBY2VvTZQYGmsW,Brazil
25JbRbTb7pK0zQZqtIznNe,Brazil
7ASemhhYXEvg6V0GKUb0on,Brazil
3Y5hg6ezP9AGjHCWOQf9pj,Brazil
66djdS9oa9qHgxjFQOb912,Brazil
2XrhoauChmyTSSrLl0NRjM,Brazil
6F1VFLYrWdaqROH4pqVvJW,Brazil
